2018-09-14 07:13:37.899 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-09-14 07:13:37.972 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-09-14 07:13:38.377 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2018-09-14 07:13:38.391 [main] INFO  org.springframework.context.support.DefaultLifecycleProcessor - Starting beans in phase 2147483647
2018-09-14 07:13:38.391 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2018-09-14 07:13:38.433 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2018-09-14 07:13:38.459 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2018-09-14 07:13:38.995 [main] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer - Tomcat started on port(s): 9898 (http)
2018-09-14 07:13:39.005 [main] INFO  com.course.Application - Started Application in 9.032 seconds (JVM running for 10.452)
2018-09-14 07:14:15.173 [http-nio-9898-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2018-09-14 07:14:15.173 [http-nio-9898-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2018-09-14 07:14:15.209 [http-nio-9898-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 36 ms
2018-09-14 07:14:16.082 [http-nio-9898-exec-1] INFO  com.course.controller.UserManager - 查询到的结果是1
2018-09-14 07:14:16.082 [http-nio-9898-exec-1] INFO  com.course.controller.UserManager - 登录的用户是：zhangsan
2018-09-14 07:14:16.217 [http-nio-9898-exec-2] INFO  com.course.controller.UserManager - 查询到的结果是0
2018-09-14 07:14:16.305 [http-nio-9898-exec-3] INFO  com.course.controller.UserManager - cookies验证通过
2018-09-14 07:14:16.308 [http-nio-9898-exec-3] INFO  com.course.controller.UserManager - 添加用户的数量是：1
2018-09-14 07:14:19.511 [http-nio-9898-exec-4] INFO  com.course.controller.UserManager - cookies验证通过
2018-09-14 07:14:19.563 [http-nio-9898-exec-4] INFO  com.course.controller.UserManager - getUserInfo获取到的用户数量是1
2018-09-14 07:23:48.432 [http-nio-9898-exec-6] INFO  com.course.controller.UserManager - 查询到的结果是1
2018-09-14 07:23:48.432 [http-nio-9898-exec-6] INFO  com.course.controller.UserManager - 登录的用户是：zhangsan
2018-09-14 07:23:48.517 [http-nio-9898-exec-7] INFO  com.course.controller.UserManager - 查询到的结果是0
2018-09-14 07:23:48.570 [http-nio-9898-exec-8] INFO  com.course.controller.UserManager - cookies验证通过
2018-09-14 07:23:48.573 [http-nio-9898-exec-8] INFO  com.course.controller.UserManager - 添加用户的数量是：1
2018-09-14 07:23:51.734 [http-nio-9898-exec-9] INFO  com.course.controller.UserManager - cookies验证通过
2018-09-14 07:23:51.737 [http-nio-9898-exec-9] INFO  com.course.controller.UserManager - getUserInfo获取到的用户数量是1
2018-09-14 07:24:56.226 [http-nio-9898-exec-1] INFO  com.course.controller.UserManager - 查询到的结果是1
2018-09-14 07:24:56.226 [http-nio-9898-exec-1] INFO  com.course.controller.UserManager - 登录的用户是：zhangsan
2018-09-14 07:24:56.297 [http-nio-9898-exec-2] INFO  com.course.controller.UserManager - 查询到的结果是0
2018-09-14 07:24:56.344 [http-nio-9898-exec-3] INFO  com.course.controller.UserManager - cookies验证通过
2018-09-14 07:24:56.352 [http-nio-9898-exec-3] INFO  com.course.controller.UserManager - 添加用户的数量是：1
2018-09-14 07:24:59.451 [http-nio-9898-exec-4] INFO  com.course.controller.UserManager - cookies验证通过
2018-09-14 07:24:59.455 [http-nio-9898-exec-4] INFO  com.course.controller.UserManager - getUserInfo获取到的用户数量是1
2018-09-14 07:25:01.541 [http-nio-9898-exec-5] INFO  com.course.controller.UserManager - cookies验证通过
2018-09-14 07:25:01.551 [http-nio-9898-exec-5] INFO  com.course.controller.UserManager - 更新数据的条目数为：1
2018-09-14 07:25:03.661 [http-nio-9898-exec-6] INFO  com.course.controller.UserManager - cookies验证通过
2018-09-14 07:25:03.680 [http-nio-9898-exec-6] INFO  com.course.controller.UserManager - 更新数据的条目数为：1
